"Protein","P_Value","ChiSquared"
"AP2B1",0.0187463529236091,5.52502333551812
"APP",0.0551134061658219,3.67865154606383
"C9",0.00230906203008146,9.2860446386785
"CTSB",0.391779819337787,0.733410878426576
"CTSD",0.356676257315148,0.849562063774579
"CTSF",0.648119981911322,0.20827859521382
"CTSL",0.882167656920117,0.0219697286695911
"CTSZ",0.461289287242162,0.542764484513975
"DPP7",0.733081836676117,0.116300700424735
"GM2A",0.0823485578130685,3.0179291577742
"HEXB",0.270170200262028,1.2158826470883
"LAMP1",0.920118358717561,0.0100570072012198
"LAMP2",0.106254266540367,2.60906688927108
"LYZ",0.00327599616269542,8.6470039414369
"FUCA1",0.166700107091124,1.912371133056
"TCN2",0.453536399094951,0.56179876581071
"TPP1",0.174711756802808,1.84204237633849
"Ubiquitin",0.000373349147372425,12.6610666783546
